publication,volcano,eruption,data_doi,chemistry,bulk_sio2,bulk_na2o_k2o,glass_sio2,glass_na2o_k2o,chemistry_doi,rock_experiment_type,subaerial_submarine,eff_exp,sample_no,bulk_porosity,connected_porosity,connectivity,permeability_k1,permeability_k2,vesicle_number_density,s_polydispersivity,total_crystallinity,phenocrystallinity,microcrystallinity,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,4,54.10,50.86,0.940,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,5,70.77,68.63,0.970,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,6,67.45,64.88,0.962,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,7,68.82,66.86,0.972,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,8,65.44,63.69,0.973,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,9,65.42,63.56,0.972,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,10,68.61,66.56,0.970,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,11,67.32,65.03,0.966,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,12,64.49,62.23,0.965,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,13,67.26,65.29,0.971,,,,,,,,
