publication,volcano,eruption,data_doi,chemistry,bulk_sio2,bulk_na2o_k2o,glass_sio2,glass_na2o_k2o,chemistry_doi,rock_experiment_type,subaerial_submarine,eff_exp,sample_no,bulk_porosity,connected_porosity,connectivity,permeability_k1,permeability_k2,vesicle_number_density,s_polydispersivity,total_crystallinity,phenocrystallinity,microcrystallinity,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,32,70.38,68.07,0.967,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,33,67.09,65.07,0.970,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,34,65.21,63.32,0.971,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,35,68.37,66.31,0.970,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,36,66.21,64.39,0.972,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,37,67.49,65.40,0.969,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,38,66.45,64.56,0.972,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,39,69.78,67.93,0.973,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,40,67.19,65.12,0.969,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,41,59.81,57.52,0.962,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,42,65.70,63.75,0.970,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,43,69.28,67.51,0.974,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,44,65.15,62.80,0.964,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,45,68.25,66.35,0.972,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,46,60.17,57.99,0.964,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,47,66.38,64.13,0.966,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,48,66.05,63.72,0.965,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,49,66.05,63.86,0.967,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,50,70.04,67.94,0.970,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,51,69.41,50.87,0.733,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,52,61.58,59.18,0.961,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,53,57.18,54.68,0.956,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,54,62.11,59.56,0.959,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,55,60.94,58.75,0.964,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,56,54.80,51.42,0.938,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,57,63.45,59.81,0.943,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,58,63.54,60.49,0.952,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,59,57.87,53.99,0.933,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,60,61.39,58.65,0.955,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,61,57.76,55.31,0.958,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,62,55.93,53.00,0.948,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,63,62.11,57.91,0.932,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,64,64.15,60.88,0.949,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,65,58.91,57.18,0.971,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,66,58.57,53.52,0.914,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,67,60.29,55.40,0.919,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,68,59.58,57.42,0.964,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,69,54.27,52.05,0.959,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,70,50.99,48.30,0.947,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,71,55.23,51.93,0.940,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,72,63.02,59.56,0.945,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,73,56.09,52.78,0.941,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,74,57.63,54.18,0.940,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,75,63.71,60.32,0.947,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,76,61.26,57.70,0.942,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,77,56.61,53.67,0.948,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,78,62.16,58.07,0.934,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,79,54.80,51.68,0.943,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,80,62.29,66.26,1.064,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,81,56.65,53.89,0.951,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,82,55.81,52.93,0.948,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,83,59.32,56.43,0.951,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,84,58.07,54.24,0.934,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,85,61.74,58.71,0.951,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,86,57.63,55.31,0.960,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,87,58.66,56.90,0.970,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,88,58.32,54.72,0.938,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,89,53.60,51.42,0.959,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,90,54.50,51.00,0.936,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,91,58.64,55.66,0.949,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,92,61.08,58.28,0.954,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,93,55.47,50.33,0.907,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,94,55.83,51.33,0.919,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,95,69.63,65.17,0.936,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,96,59.51,56.33,0.947,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,97,59.15,56.33,0.952,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,98,57.63,52.33,0.908,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,99,46.73,40.86,0.874,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,100,61.26,57.93,0.946,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,101,57.69,55.11,0.955,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,102,66.10,64.04,0.969,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,103,58.72,55.09,0.938,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,104,59.60,57.67,0.968,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,105,59.50,56.89,0.956,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,106,59.50,57.04,0.959,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,107,57.41,54.33,0.946,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,108,60.03,58.01,0.966,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,109,54.80,53.32,0.973,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,110,57.38,55.21,0.962,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,111,59.86,57.83,0.966,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,112,56.17,53.12,0.946,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,113,66.10,62.76,0.949,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,114,67.11,62.46,0.931,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,115,58.38,56.37,0.965,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,116,54.29,53.35,0.983,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,117,58.13,55.00,0.946,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,118,57.22,54.07,0.945,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,119,57.12,55.11,0.965,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,120,56.42,54.55,0.967,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,121,57.30,54.51,0.951,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,122,53.82,50.58,0.940,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,123,52.63,49.71,0.944,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,124,58.06,53.86,0.928,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,125,56.42,53.66,0.951,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,126,60.61,58.66,0.968,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,127,65.33,63.05,0.965,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,128,57.78,54.81,0.949,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,129,55.99,53.93,0.963,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,130,57.06,54.40,0.953,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,131,64.16,60.11,0.937,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,132,60.23,57.48,0.954,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,133,61.77,58.38,0.945,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,134,64.80,61.73,0.953,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,135,62.34,59.37,0.952,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,136,54.03,51.62,0.955,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,19-1,49.89,28.69,0.575,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,19-2,56.86,39.87,0.701,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,19-3,56.91,43.79,0.770,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,19-4,57.90,40.77,0.704,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,19-5,60.03,47.57,0.792,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,19-6,54.36,34.13,0.628,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,19-7,55.13,39.84,0.723,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,19-8,63.42,56.02,0.883,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,19-9,56.55,39.64,0.701,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,19-10,57.92,40.53,0.700,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,19-11,49.38,42.52,0.861,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,20-1,57.09,50.28,0.881,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,20-2,49.41,45.60,0.923,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,20-3,62.81,54.15,0.862,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,20-4,67.17,57.02,0.849,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,20-5,46.11,43.85,0.951,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,20-6,40.98,36.11,0.881,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,20-7,72.58,43.73,0.603,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,20-10,70.85,66.36,0.937,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,20-11,46.96,35.40,0.754,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,46-1,52.89,44.82,0.847,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,46-2,88.23,83.09,0.942,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,46-3,50.66,39.73,0.784,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,46-4,83.38,73.77,0.885,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,46-5,92.64,86.32,0.932,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,46-6,83.27,74.52,0.895,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,46-7,89.72,78.00,0.869,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,46-8,89.64,82.66,0.922,,,,,,,,
Kawabata et al. 2015,Harrat Al-Madinah,"AD1256, fire fountaining",https://doi.org/10.1007/s00445-014-0890-y,Basalt,,,,,,Scoria,Subaerial,Explosive,46-9,89.20,85.18,0.955,,,,,,,,
